# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2795
#@/user_id	c4e4d588-8969-45dd-ab6e-a3afd9cb4349
hao kan de 	好看的	c=1 d=1 t=1189
hao le 	好了	c=3 d=0.211709 t=2795
hao nan 	好難	c=0 d=0.1 t=1226
hao nan nong 	好難弄	c=1 d=1 t=1227
hao shuai 	好帥	c=1 d=1 t=1248
hao xiang 	好像	c=0 d=0.1 t=1802
hao yan zhong 	好嚴重	c=1 d=1 t=1529
he 	和	c=23 d=1.96385 t=2795
he bing 	合併	c=7 d=1.34881 t=2792
he fei 	合肥	c=1 d=1 t=1951
he guan li 	和管理	c=1 d=1 t=1937
he li 	合理	c=0 d=0.1 t=1966
he li de 	合理的	c=1 d=1 t=1967
he shi jian 	核事件	c=0 d=0.1 t=1954
he zi 	盒子	c=2 d=2.08012 t=2500
he zi zhi zheng 	盒子執政	c=1 d=1 t=2501
hei ming dan 	黑名單	c=1 d=1 t=764
hei ping 	黑屏	c=2 d=1.06871 t=2248
hei ti 	黑體	c=2 d=0.421052 t=2795
hen 	很	c=0 d=0.1 t=2511
hen duo 	很多	c=2 d=0.0728029 t=2795
hen hao 	很好	c=2 d=1.00011 t=2672
hen jian dan 	很簡單	c=1 d=1 t=1118
hen man 	很慢	c=1 d=0.0611149 t=2795
hen shi wang 	很失望	c=1 d=1 t=2512
hou 	後	c=1 d=1.00214 t=2481
hou duan 	後端	c=1 d=1 t=2293
hou mian 	後面	c=1 d=0.196912 t=2795
hou tai 	後臺	c=1 d=1 t=2295
hou zhui 	後綴	c=2 d=1.03932 t=2118
hu chi 	互斥	c=1 d=1 t=1946
hua 	花	c=1 d=0.390628 t=2795
hua 	話	c=2 d=0.0372538 t=2795
hua dong 	滑動	c=1 d=1 t=1883
hua fei 	話費	c=1 d=0.373439 t=2795
hua le 	花了	c=1 d=1 t=2777
hua shui 	划水	c=0 d=0.00328764 t=2795
